cohort,size,m0,m1,m2,m3,m4,m5,m6
2021-01,868,1.0,0.2868663594470046,0.3951612903225806,0.4078341013824885,0.4182027649769585,0.4251152073732719,0.4631336405529954
2021-02,786,1.0,0.2875318066157761,0.38295165394402036,0.410941475826972,0.4083969465648855,0.38676844783715014,0.4440203562340967
2021-03,867,1.0,0.2918108419838524,0.37831603229527105,0.39100346020761245,0.44521337946943484,0.3886966551326413,0.3956170703575548
2021-04,758,1.0,0.3007915567282322,0.3786279683377309,0.4102902374670185,0.40369393139841686,0.46174142480211083,0.38786279683377306
2021-05,468,1.0,0.21581196581196582,0.33547008547008544,0.3482905982905983,0.3247863247863248,0.37393162393162394,0.33974358974358976
2021-06,770,1.0,0.32597402597402597,0.38961038961038963,0.43116883116883115,0.42727272727272725,0.42467532467532465,0.36883116883116884
2021-07,1581,1.0,0.3466160657811512,0.433270082226439,0.4674256799493991,0.48007590132827327,0.4370651486401012,0.5787476280834914
2021-08,1163,1.0,0.37317282889079967,0.46775580395528804,0.46345657781599314,0.531384350816853,0.43680137575236455,0.5494411006018917
2021-09,973,1.0,0.37821171634121276,0.4635149023638232,0.4573484069886948,0.48612538540596095,0.5560123329907503,0.43371017471736895
2021-10,1053,1.0,0.38746438746438744,0.4795821462488129,0.5156695156695157,0.4083570750237417,0.6068376068376068,0.50332383665717
2021-11,1007,1.0,0.39225422045680236,0.47368421052631576,0.4945382323733863,0.5898709036742801,0.45084409136047665,0.535253227408143
2021-12,473,1.0,0.28118393234672306,0.3594080338266385,0.346723044397463,0.4989429175475687,0.38054968287526425,0.3699788583509514
